Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
75,61.59434094984731,1.4855207565545048,61.686533559410236,1.0036664502882502,61.13962463822416,1.879208662153222,60.37519382502514,1.4887828847670315,59.764648716927404,2.2165959899196843
76,61.61272534088922,1.4621668058989277,61.682372556685436,0.9756487857378039,61.201453626452725,1.7587279656619144,60.5392138566614,1.4575773278342214,59.80078654668896,2.2240437739111782
77,61.61782994225409,1.4536685479816438,61.675660824942184,0.940028589803136,61.125710561128415,1.7602620729415437,60.52025937201236,1.4466841620440458,59.81759122588388,2.1889871403169656
78,61.64566892115833,1.4396423487723762,61.703429195562684,0.9117755948327342,61.11357649160313,1.7671041528040108,60.564368539836764,1.4183461064240799,59.91890494891156,2.1776309475691997
79,61.68480312836159,1.3100458497948415,61.705583991921095,0.8759253347084672,61.15153095257621,1.7616775391340234,60.558097435287394,1.421693433741358,59.912714479615126,2.183584650275502
80,61.70865609360047,1.2440299856994956,61.70439360846224,0.8561015151001827,61.2249775881487,1.7629064839302249,60.60696987034562,1.4001657810307524,59.75049889434504,2.2336180837213435
81,61.7202285823994,1.1914593434196918,61.69864779347325,0.8149240162118524,61.205652054526496,1.719813950394825,60.62100467170769,1.3836073941876392,59.551255298270874,2.2865947824123993
82,61.72668974406555,1.1681086627931385,61.67574368285187,0.8041904173991345,61.29734822686192,1.28869715724231,60.611271049867064,1.3842871996207047,59.52875468334634,2.314618341528971
83,61.73028425242622,1.158053731312827,61.71316014532113,0.7501590406559807,61.30158360941432,1.3037536540062844,60.55890223162226,1.3689384819046577,59.61564667473364,2.302304712495578
84,61.737170897678006,1.134627650726823,61.72014814298519,0.7099835549038556,61.30703114411127,1.289188978773973,60.51836845775825,1.3444177164288957,59.62950757006523,2.274332681811367
85,61.740983954019946,1.1208124454047064,61.72233362798508,0.7112080667901436,61.277211558912995,1.2816967378959478,60.541838784896946,1.3627492450817582,59.63562451211225,2.26703516371129
86,61.75954225437254,1.066700464081335,61.737132248580195,0.6741754083884536,61.237782737048136,1.3115100786709848,60.5907189677451,1.2730770552679775,59.55483252130124,2.336252201969685
87,61.759291283165055,1.0648033032266648,61.72958833265946,0.6615330992482882,61.26003313592834,1.2902132407114446,60.576398930699916,1.3171593437190376,59.76869533476977,2.3148576087372095
88,61.757753420321926,1.07052659282844,61.70762585824777,0.6603075778421809,61.25530892720155,1.2792606019338644,60.60222691979035,1.3028303386094475,59.8597815974557,1.7436964193163265
89,61.782962616701305,0.9556014519064981,61.729828936613565,0.6223377049098683,61.284955822008854,1.284056887151347,60.70466024110075,1.3007309298896184,59.937599682322784,1.6589045190142653
90,61.790523892629906,0.923131346174456,61.724531717911745,0.6016545160416921,61.28097604868319,1.29126926965858,60.660311419297656,1.2924413211407346,59.922381107155026,1.6492418893435916
91,61.79088778194691,0.9216516010354886,61.68782289810718,0.5824262839946333,61.271783554583266,1.283538159142725,60.671471761999506,1.1841974058757283,59.92161673772511,1.6230042953675128
92,61.806460889216325,0.8836808644698831,61.67952682216665,0.5647861784920406,61.29182034402953,1.2589711427117825,60.74424495394988,1.1843293581922174,59.93237685452153,1.617299164221062
93,61.80759112767222,0.8758833544371633,61.6995480165278,0.5728123697086829,61.29794779702162,1.2528897408222774,60.60652539720034,1.2306313123096795,59.7301303642228,1.6801922984089845
94,61.80725341151298,0.8731243390499843,61.697404667168286,0.5612361166974851,61.342615437134846,1.2126232769830374,60.604428580339125,1.2288247201157723,59.7220719095801,1.653053579442726
95,61.81825029290568,0.8557387014549399,61.726770877637854,0.5480626316719526,61.33487968502127,1.20427709412748,60.619997728608794,1.2309358381180775,59.72983336364286,1.6591881169277958
96,61.829773389049336,0.7817439421095426,61.72203460562527,0.5448890911723124,61.262165263734964,1.0755466935335518,60.645902200097595,1.2104349758177493,59.77039112869299,1.6273517463451883
97,61.83610893705606,0.7485591850787349,61.73731277163853,0.5447338756237065,61.27458943979054,1.0661712908388585,60.664097681723725,1.1451148199726207,59.82176707698105,1.6283780689882592
98,61.836898779992104,0.7433015394438504,61.74928577221128,0.49593202758530225,61.31371079637971,0.859139877773747,60.59289397867371,1.155671818779648,59.87864159426735,1.6142464992923429
99,61.83793426665228,0.7323724231796556,61.778095493357995,0.5061701719740899,61.27281161408924,0.8958086879960941,60.57352179694769,1.1420477010594479,59.923001597942196,1.5884072452433387
100,61.839727694220635,0.7229656101129884,61.795142932698695,0.5021099577111218,61.29319650539941,0.8775438017079527,60.5410028698439,1.1411519583937348,59.92050749264924,1.5768785559871852
101,61.838669695830205,0.7323145362474032,61.7998770624291,0.4876886662411903,61.34602305288946,0.9112357314619027,60.59738908688528,1.1401402275337529,59.96408855121162,1.5567741531366772
102,61.84014055839885,0.7177829018355822,61.76330630322661,0.5035476429147762,61.34267601871906,0.8937552771154879,60.645700520479615,1.1432685557517925,59.938877200452836,1.6033296340955523
103,61.84429664017973,0.6791057185923619,61.72977084273059,0.4848895466494736,61.33747419251848,0.8921373161064211,60.60731385139014,1.1426656659691317,59.778266675633475,1.6494743361072912
104,61.8453782514093,0.6543961667443,61.73221588323696,0.470008330266402,61.32653921908906,0.886335933659501,60.590521672202584,1.1804499986075419,59.795574674706046,1.6291432460826876
105,61.84821200251137,0.6352462614712598,61.75987235492674,0.44685754430397046,61.3097687862459,0.8448596454699162,60.62105354428825,1.184076963103132,59.619456116080606,1.6759118702947127
106,61.85129098536656,0.6090936666869654,61.758371510555605,0.4327500915904266,61.315745514635864,0.8362138419061805,60.63791695533584,1.1962840280784797,59.71531952216425,1.6540546976816817
107,61.85283705055655,0.5904216260025396,61.73200844383025,0.440904259574145,61.313557022514125,0.8644882702026183,60.58277933949154,1.1966340642205313,59.56846353427895,1.6964767468870452
108,61.85310119393222,0.5949957596630598,61.726640546322905,0.44705330680248273,61.349133768252386,0.8261543258988292,60.59296449918987,1.1777830122674946,59.45890073276924,1.7254090270428442
109,61.85335534668392,0.591438388279553,61.735151765373054,0.43338863620843765,61.358518045067775,0.7649872411039434,60.57458726589264,1.1882876172515067,59.3684368905094,1.8007044033634572
110,61.84350332850557,0.5693000596138871,61.69938892176007,0.4396115239375742,61.354766268220644,0.7498312562605989,60.51805606043848,1.166477599845921,59.443471629335264,1.78084549384301
111,61.84411118458014,0.5555584710639755,61.69586725982033,0.4709881661745279,61.32856729132832,0.762788475885433,60.554246796137505,1.1389761307420483,59.51734037856771,1.7521529587634612
112,61.844373583033175,0.5512550214283646,61.67870626638863,0.47198043847739407,61.377387939263,0.7724213221725855,60.51118232018853,1.1829228955237436,59.60237390887812,1.6626586124675908
113,61.85455530456317,0.4261455047548339,61.694977293387346,0.47888647586973865,61.38024114436279,0.747733884978561,60.49900407376249,1.1949007609056632,59.592757099515396,1.6099503677302869
114,61.8297303805344,0.43732231504012087,61.69408488249652,0.4557299636510226,61.36728307714325,0.7554506616687374,60.45226521982743,1.213360954868506,59.62649946894098,1.5927523274282018
115,61.84203368512946,0.4224984254637736,61.65856606189435,0.43408251405869286,61.400150635286714,0.7804933016794552,60.41466798353758,1.2473511858872655,59.71428213904176,1.5715510713292324
116,61.84632975224147,0.3813615106968074,61.66926811501373,0.40229174556473274,61.41463482683461,0.7908105690263006,60.43614725377521,1.2591916297865478,59.78385027572817,1.542108702145794
117,61.82455539742698,0.3574580469649536,61.67787816234082,0.3692988471234399,61.40709143330133,0.7872310690883016,60.472774554970165,1.2398148962307287,59.74742442304025,1.5355299456129912
118,61.82500608453706,0.3475238351882295,61.68218765481278,0.35157076669732934,61.38385894038988,0.7778040115514196,60.56001882920918,1.2456056102097286,59.81252353098827,1.5227251292699562
119,61.82399885126108,0.3449905738372254,61.69628203269682,0.3441865997241498,61.36969651933001,0.7819435912083398,60.46728747438169,1.3031708804227349,59.73499461186863,1.585795426649251
120,61.83746612567363,0.3291676559799593,61.67556250666485,0.36984804191004733,61.32975503438642,0.8351037004041345,60.41451115809996,1.2905717947790005,59.7770035077316,1.5603529047899374
121,61.82541081385912,0.30925233198951996,61.66146807371562,0.3803551173228028,61.32992269664965,0.8298241324772523,60.427037828417745,1.2647311642138943,59.773391859688296,1.5594614469363088
122,61.82570325156329,0.2980691252323771,61.67624869299452,0.38483453605494183,61.35746720229314,0.8148377794199382,60.41736175267196,1.3251321780515957,59.6686066633163,1.6531631891174066
123,61.826762378269585,0.290387453464007,61.667852712727196,0.3662820761169124,61.37186759452529,0.8038431309812814,60.4262965305247,1.2881482914836127,59.7780623756066,1.6011407181361452
124,61.817583284650304,0.2971951248955725,61.68529495771885,0.4055921805715643,61.34196488519517,0.809032003132372,60.453578118686956,1.3288492255872406,59.77547193623229,1.579070169395547
125,61.818240762429525,0.2802522272145926,61.68070621399628,0.4119126970123979,61.36304243837741,0.7695729149070495,60.49635149613551,1.3245621186455951,59.81519629008623,1.5425105954957743
126,61.82222813584602,0.23646079110178986,61.7081002168472,0.40641990937326083,61.38585543585962,0.759886832946488,60.42588400999989,1.268029791124868,59.782581740318214,1.5701344416330552
127,61.83376887256125,0.25436305953125676,61.7023781765301,0.4374887974135914,61.36120602106532,0.7959717743567505,60.39630001628786,1.2561426758251344,59.85146284451002,1.5530257008978372
128,61.83354556298406,0.261527549949741,61.72021044804637,0.43314686325382606,61.32526501283823,0.8069645728282925,60.449671356355196,1.2695296304022725,59.86246906020197,1.5024803259444355
129,61.83599023695019,0.23390652774099677,61.724741734597295,0.43681499157652975,61.31909247666468,0.8245634953752208,60.308760400585264,1.3491848603042556,59.71615773410497,1.5554463111403847
130,61.83566467456298,0.2444832056799581,61.70271276363714,0.43811903519636736,61.31483293632876,0.8119616734677014,60.379897051126825,1.3251593597308358,59.64583356900319,1.534839727167391
131,61.836658534289846,0.2233893445032077,61.694586145175286,0.479058470526154,61.24667932491166,0.8062383209798543,60.37882341274315,1.2946988443961696,59.73280622392627,1.4884712015435466
132,61.841875789196116,0.15486651004132715,61.68152663662624,0.5024959201290385,61.25130856659236,0.7956650580368075,60.28007142664673,1.3650639632936403,59.750872268114705,1.4818839305073437
133,61.84189304098194,0.15467552029864093,61.68824281517125,0.512878446083104,61.25289886858748,0.8076543958712213,60.31491871384288,1.3407400100803295,59.82821335014669,1.4507187076548682
134,61.84187232357046,0.1527131031167752,61.66913159336115,0.5018024580297904,61.30144620635946,0.8107787487830486,60.3343253090069,1.374077324253866,59.88578578109204,1.4293299286769352
135,61.84187962485748,0.15238490567293306,61.65761781679226,0.47590689554511817,61.2360196168046,0.8020798432682724,60.28806943078159,1.3523756153134894,59.961670650296135,1.429208186226478
136,61.84049152022188,0.14072658415359815,61.64745051502442,0.4776834414888334,61.18805005087635,0.8095461438220953,60.20517389255524,1.3336708068515843,59.93311346760154,1.3943912204552704
137,61.86107137459838,0.13949647505588758,61.62632095552498,0.46771105530716744,61.26124728652758,0.7957593047276651,60.24576512577501,1.3110542866940882,59.814995607453305,1.4429671355540197
138,61.86109392367112,0.1383091321311314,61.64945004680834,0.4386340624490556,61.27093624287214,0.8127996652178638,60.316907043896386,1.292405840530806,59.67304217404472,1.5166261475766927
139,61.86085339798542,0.14900826981141094,61.64006493173027,0.45824619430241614,61.25611222173293,0.836454199605916,60.32357207108532,1.257446390489778,59.79992441940992,1.4972361251311528
140,61.8510400339914,0.15044949057540136,61.65949767929819,0.4281302774724746,61.27708853804998,0.8630363264875548,60.300703395429316,1.308993463946857,59.81236243742622,1.5303453409243006
141,61.85190662884145,0.1153321009228428,61.616611236561575,0.4635710613385007,61.305549949385025,0.8717369378303541,60.35930960004578,1.2930884960522595,59.6919149572647,1.5787812535182395
142,61.844887827507584,0.14588803304724748,61.639436989354074,0.4340681131228603,61.312917639812,0.8365933359871108,60.43767189602691,1.2753425070089606,59.73143284070767,1.548691169947196
143,61.844911376523484,0.14479813985063217,61.638291614960764,0.4646629211740572,61.3244196808256,0.8439681628927337,60.545521348394814,1.2439654238444136,59.787921653842396,1.5226715861935076
144,61.84488202992359,0.1446524000469099,61.630254240990006,0.5050897831967712,61.34869178990592,0.8316162721406025,60.43656199786019,1.290882107014082,59.871411898210994,1.5008546163675147
145,61.844997800495186,0.13250756491527982,61.58011202110492,0.48394893106326226,61.28902782679264,0.8612014875000664,60.36753541989033,1.3420538625482281,59.86479939940401,1.4605278131181845
146,61.863142290888206,0.13587099835327113,61.560479436261495,0.5187573260264103,61.31898986895616,0.8301500672212258,60.2957497793761,1.3475041160049308,59.88178512988749,1.4450403664976552
147,61.86314094842771,0.13616520310871497,61.61281174738143,0.5137053852185255,61.40096324989694,0.8250078014158397,60.39817607445955,1.3314802802026238,59.85387371181749,1.459872904926117
148,61.863011189869226,0.14221047258188824,61.642635260721434,0.4981874408120443,61.36179701853495,0.8375415524450505,60.23661326221241,1.3788138911925902,59.87488620696051,1.4426901728702068
149,61.85697994108255,0.135737704853381,61.61758041484359,0.5162513501941856,61.3484861166757,0.8484633853155669,60.29725682848915,1.3603388321151153,59.83500345292607,1.4348159325174696
150,61.84414534922873,0.1296692730061984,61.615184107920705,0.49434069894326443,61.3432683958654,0.8637730998200612,60.278341664299745,1.3513634669896,59.71481881085452,1.510761031270964
151,61.84411062051254,0.13656198806478556,61.61500410650537,0.44342726045884445,61.35234136746907,0.862791212979959,60.21506386772131,1.3985224671148806,59.90339857139016,1.4604213818391807
