Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
12,37.14050686574942,15.17303212964616,38.87716515699192,13.97928639030753,39.304000785174914,14.40941884520552,36.1122623663938,13.821928259982064,39.46831035519879,14.733615438040559
13,39.1650004096749,15.233747195516436,39.80261023995362,13.682750364416263,41.02456682516285,14.249409354078397,37.8156839396343,13.549281324604836,41.3734177248996,14.553451000686877
14,41.17920239854354,15.10748464848479,40.33867190262391,13.551811137124746,42.59376997033805,14.130331801755448,39.78172564983445,13.146791202016376,42.184102246085374,14.27548378404955
15,42.94409545920073,14.814526537405172,41.066009031978815,13.232826013362406,44.193086697608216,13.99734164413834,41.46590246847416,12.877757004999436,43.5213053500343,14.18454257194854
16,44.812350849958634,14.477888841183514,41.58988068434384,12.98483506382504,45.81813307776194,13.654495562302074,42.90570273963143,12.633082099586902,43.82017605678555,13.999896492236203
17,46.481715038807145,14.048953141889816,43.04128645595103,12.826177270813949,47.107518176097265,13.38313032431659,44.42513310393375,12.324103415195404,45.45052683257093,13.672553701725676
18,47.86101101088368,13.686828263044895,43.6578128949289,12.561393038275101,48.208551199987404,13.260472591090497,45.87616532823145,12.019261334410254,46.78614850915436,13.36739512603972
19,48.75237586068329,13.417045006371112,44.860176806172014,12.457699967152308,49.493229351025725,12.850576583798306,47.15260387963063,11.738791096204542,47.97643399596355,13.032894911560826
20,49.559495796474366,13.072478251003895,46.140026708901466,12.230746553909702,50.61016856088552,12.482541035299734,47.42805921511256,11.564921452919725,48.86677779647176,12.866834470942022
21,50.59119669372587,12.66376141327194,47.27419988763829,11.910671975144085,51.34438671211459,12.262937853558348,48.59048998062707,11.366107552897354,48.974666720868306,12.785466088806478
22,51.91288189967833,12.018823658878382,47.60005514350784,11.790709256568483,52.33172609640186,11.775467497375326,49.537316134783296,11.196051564707687,49.99334050141679,12.534253906253532
23,52.6800983684886,11.623589200668482,48.67921593900818,11.481989521584318,53.18044953776644,11.328046978798568,49.66817782417076,11.100973720992526,50.88462551081737,12.264321212881377
24,53.21894462890691,11.266656239753331,49.70924203779806,11.133196203349142,54.04736062515792,10.813243992699215,50.87360362026063,10.673319546499465,51.887439024734135,11.921383539573633
25,53.764609329534345,10.951437307292233,49.79724661054479,10.90400909265288,54.61382771448254,10.45807172486472,51.525189072040114,10.444547088315971,52.616166757586576,11.569402474979531
26,54.50649662185449,10.48966758447309,50.81372833865869,10.502558124601588,55.00954882520315,10.078366983394517,52.44889321829856,10.09487588689038,53.017424346635536,11.318628912354162
27,54.96580785719432,10.173605423981257,51.161853265778014,10.299752952741823,55.60015280851495,9.729107417311884,53.20030953178486,9.736900666825145,53.4531001138469,11.072181081611598
28,55.337197420924724,9.95345837879781,51.44109937021939,10.154555427021412,55.92695762732381,9.404475434718675,53.60849265610779,9.439273020852477,54.03995495998494,10.681172323293334
29,55.7624279668158,9.57197571485863,52.41166468888204,9.76114693250325,56.072085361188854,9.168188320823031,53.87475603180963,9.145207156527247,54.5347273838994,10.413901241608192
30,56.098754574782326,9.314717053032924,53.21668696495879,9.518694828697594,56.44530002886981,8.893713872320108,54.58963610364532,8.800582509705682,55.032204805849474,10.069262762683715
31,56.68362099079541,8.81563249331363,53.96332908294774,9.11197941218572,56.950770687947575,8.464659231731659,55.22395379483313,8.366506517224385,55.05856804558761,9.794559275864584
32,57.311264154956426,8.161774681159683,54.92358639675321,8.566174748170369,57.25541929884621,8.14278449537978,55.567305567849694,8.287052531885564,55.544907373258646,9.535132563529766
33,57.573150175724365,7.911236028033023,55.18156762685221,8.348726407660928,57.48993548146379,7.760932717714069,55.95797806333715,8.113706536859473,55.997087622065735,9.021142856620497
34,57.80706769124293,7.608318742223607,55.74909913901921,7.953216285119862,57.945328374517025,7.267103147899072,56.49140735946239,7.705660736838143,56.335032990056305,8.806052799202286
35,58.01870754007678,7.400707793745842,56.18864531448934,7.792061497960899,58.20053362796084,7.054687560366021,56.82131658059043,7.499018551275824,56.78973575629121,8.502358997525665
36,58.431677555309776,6.936339681148332,56.6104607710265,7.4531738905838685,58.4452343596429,6.83529540292027,57.18035121667804,7.2781622865497395,56.77536597978942,8.38630505767687
37,58.57488901533434,6.7771988852170795,57.06893514226078,7.220112130426937,58.46524704647069,6.682151982326172,57.56968824357467,7.136013624897985,57.14658451677945,7.9909987011778405
38,58.64391259784618,6.667017809509847,57.49005574487304,6.9031792390129425,58.75268717642642,6.443489399936027,57.39060435732067,7.198586917125322,57.627185451022974,7.533019363814078
39,58.74422212162831,6.528792824943384,57.928778006133214,6.532115167772474,59.060768011401684,6.245660840604775,57.55172927762378,7.109530686913956,57.71275455116951,7.390118068649596
40,58.71945699212282,6.542365726434734,57.92139272919296,6.504928709024148,59.22732438761738,6.073899209086599,57.53162450437219,6.884694219763002,57.9097742291364,7.104584430159195
41,59.00834813203804,6.168269367792731,58.34446528027989,6.183702868869034,59.303179823390366,6.025809815205839,57.670857005874254,6.603420374416491,58.211674223499216,6.532409887526554
42,59.19703317385454,5.740982752581858,58.65143554089275,5.944136263826991,59.38942060168521,5.730221195155212,58.08092412102001,6.324532590358404,58.35333991165631,6.333133266232967
43,59.152208777856686,5.7497739204911875,58.84537014560141,5.838110566886648,59.6839546567674,5.277197345816753,58.384973331550015,6.0183198509973295,58.53604912511732,6.118469760551734
44,59.164659001125955,5.6564680586472535,58.864738319508575,5.76516783008367,59.85044165654242,5.054050447108199,58.54253855705914,5.717652539360022,58.62440283348218,5.9645207748676095
45,59.181026345986695,5.5555387947306825,59.06613992205005,5.474052035906657,60.12840649498482,4.408291708599651,58.73602213409136,5.502481871634043,58.419503272498744,5.9769238796539925
46,59.317276832107495,5.416013288889811,59.27763810556548,5.1677483477628074,60.207818393379156,4.3329482151532694,58.982364850803606,5.252064595612119,58.4776730249565,5.866923321640275
47,59.443682019288,5.30982277021496,59.47818989274491,5.018378259778734,60.260439373192376,4.159873830292231,59.11188548798414,5.081589015290736,58.63430349790088,5.661407466414865
48,59.583420109268324,5.045130467289492,59.51003888678318,4.882883865376372,60.433885160779994,3.7336292061420124,59.01366295357446,5.055655242018564,58.53931295394027,5.756998900719229
49,59.748960823691526,4.851378766234823,59.716686100745356,4.6943082034348995,60.50932149310099,3.647597022781021,59.105134547550044,4.931603941875946,58.79762660581246,5.537981591327978
50,60.043846459618436,4.217165622200022,59.96151484005338,4.403320202413822,60.46597080753355,3.563239945948047,59.206864639620846,4.842541864466084,58.8488374120341,5.503974912942627
51,60.15489769624035,3.9921201712054555,60.20281608264405,4.073398796813134,60.50779066634674,3.508011147292508,59.159798855414586,4.7157174314518135,58.767077163071775,5.476423238260143
52,60.29833560334748,3.713231674310405,60.28252134410642,4.027020881431027,60.449534052642754,3.6046639459235763,59.308868433779836,4.555178709328122,58.99000742976343,5.144360434226526
53,60.422189439138734,3.448571572959334,60.34869604635739,3.861494243279583,60.47919315514571,3.2664665899206136,59.40351954307769,4.418215281555993,59.18329305022638,4.640304322125173
54,60.48059432911598,3.2994621711211582,60.46029834874005,3.673797503141642,60.61999027722339,2.998281982589418,59.46878520355032,4.3350782754581125,59.26502790725554,4.431117666933202
55,60.56367231008708,3.028560155216509,60.56792058588885,3.5395386944194205,60.552602544082255,2.8440558079530085,59.66501476107068,4.1161790286772435,59.41864167437918,4.1120829728078485
56,60.65313066380423,2.81150869648663,60.54074092805067,3.661433794773046,60.72869185932431,2.454456959927587,59.75213794738777,4.027056074090797,59.30738069032335,4.078660583433435
57,60.680930845646216,2.789058111735134,60.620973382495784,3.5057955044222973,60.77029557209227,2.339114179800968,59.77895458954805,3.9817123184623573,59.28423777027022,3.9050623736989585
58,60.7441449236749,2.67960569133527,60.73742556585799,3.3629155830594653,60.67538378122302,2.5640752428504614,59.60007711652159,3.997239781136198,59.25800712625017,3.813553547419691
59,60.69357581217804,2.7107892955169994,60.81410826286638,3.291406024107687,60.73126048077477,2.4017289038496643,59.74058226388681,3.9306823697691695,59.34751454816165,3.7614538968488076
60,60.764700640433766,2.5935400601617355,60.8758102047772,3.184372909967987,60.7805663468253,2.3712020425110607,59.889109091032275,3.7324198356969247,59.375382945247345,3.7186788462096527
61,60.812431973151426,2.538061402654279,60.96663660907672,3.1049125643606197,60.875194222778525,2.143071888974208,59.88540134114613,3.6089925676359305,59.34017728413329,3.701524068042884
62,60.96909191305853,1.9825734886684006,61.01674003940384,2.950899808331458,60.89070303312102,2.146026119468689,59.87874409739158,3.5287853660793895,59.30405054057829,3.3791162093430454
