Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
12,39.851974341375,14.444345980744087,41.36696876206805,13.21421019974377,40.83221205621545,13.710848760398504,36.89962574873021,13.493941883242714,39.50383267282396,13.565538106121478
13,41.48389178562819,14.462074471418992,43.25308631072858,12.84865299827591,42.56263981181926,13.460048684241519,39.07674890163653,13.287597762679548,41.03427803089263,13.32869722759248
14,42.09324897538588,14.32322297720034,44.73105780634738,12.470102435283826,43.217274132739085,13.24453451846675,39.675405584671,13.151012092313543,42.33309392504184,13.119525941771764
15,44.22947159961269,14.00476219692622,45.92907934507747,12.1369543486403,44.47041806856005,13.043966650505013,41.307068871653115,13.131511535923366,43.80961679895017,12.804462086267835
16,45.517750236401945,13.768836505969318,46.335944362457454,11.962892020981004,45.67385399888489,12.711911176422541,41.46510840304002,13.092383326585006,44.26280883668437,12.630389099433662
17,46.892256956674885,13.372212571928882,46.825390978644776,11.753106826737488,46.95251923582077,12.350170851135369,43.01262376394438,13.07675491880959,45.631458321021015,12.248021730569457
18,48.06172288257064,12.94771842191063,48.47966164228252,11.154928673738082,48.31315231163525,12.034518288082337,44.61071555780822,12.866954168498353,46.95949444309468,11.946199064872152
19,49.35062292988804,12.473649121473898,49.74503045159728,10.759902937227041,48.73540375936613,11.806020770788079,45.85324845148089,12.79737131477273,47.99320986804481,11.676717084637355
20,50.00031894604617,12.22627074718543,50.7101056212779,10.518167306251492,49.98602603260285,11.453195377150793,46.10876612233369,12.664305835665047,48.91188008888807,11.429037410647597
21,51.054897512814286,11.773378329326993,51.09791084823824,10.259477444811063,50.35326695085974,11.287050322719919,46.1042256595723,12.546406423028593,49.934955317734854,11.093610917625774
22,51.3273309381831,11.606578796898882,52.062888262728116,9.79237588082192,51.09105249290641,11.229463759300948,47.49352851597866,12.357218839988903,50.37772700686291,10.837584214489715
23,51.594348675769695,11.417372422443096,52.85361522960627,9.55524951940083,52.236318867461144,10.76394933449049,48.65813040936741,12.13612270984695,51.40087640008462,10.481489697509234
24,52.381788875720495,11.215648154040375,53.1964463365765,9.248730435802747,52.967026203371226,10.605215485685946,49.540225625606105,11.986018422030478,52.255324986955145,10.045293255440244
25,53.22065906296214,10.97495336903584,53.75721404315978,9.068886338808143,53.05316003519909,10.480405759153713,49.801345575086984,11.582393048342771,53.354678859754436,9.596316294648902
26,53.544886028725934,10.750084133957664,54.39262651714648,8.827498313124037,53.38710243941807,10.241167064470725,50.86958096215883,11.238983977472307,53.654588359583144,9.249759465500011
